Feature,Importance
PAY_0,0.4733383
PAY_4,0.0571819
PAY_2,0.05647615
PAY_3,0.048371375
PAY_AMT2,0.040464003
PAY_6,0.035292573
PAY_5,0.03354956
LIMIT_BAL,0.027854163
PAY_AMT3,0.023556208
BILL_AMT1,0.022128657
PAY_AMT1,0.020615403
PAY_AMT6,0.017421141
BILL_AMT2,0.016626267
PAY_AMT4,0.016217481
PAY_AMT5,0.015024559
BILL_AMT3,0.014898764
SEX,0.013123836
EDUCATION,0.012579798
BILL_AMT6,0.012353451
BILL_AMT5,0.011771261
BILL_AMT4,0.011559115
MARRIAGE,0.010593968
AGE,0.009002056
